ZipCode,lat,long,st,et,airport,arrival/departure time,direction
NG118HY,52.906066,-1.169442,11:30,12:30,London Heathrow Airport,14:30,Out
EN54PX,51.663687,-0.198262,08:20,07:20,London Gatwick Airport,08:20,In
CT27TX,51.297078,1.08771,08:20,07:20,London Gatwick Airport,08:20,In
DH45DB,54.840931,-1.480105,06:40,07:40,Newcastle Airport,09:40,Out
NE299QG,55.028006,-1.461028,06:40,07:40,Newcastle Airport,09:40,Out
LS249JS,53.883377,-1.275138,12:05,13:05,London Heathrow Airport,15:05,Out
LL237LB,52.949349,-3.503442,12:05,13:05,London Heathrow Airport,15:05,Out
GL529UH,51.964675,-2.0585,09:55,08:55,London Heathrow Airport,09:55,In
GL193PR,51.998562,-2.299812,09:55,08:55,London Heathrow Airport,09:55,In
HR36BE,52.067845,-3.000209,12:05,13:05,London Heathrow Airport,15:05,Out
BT820AL,54.0,-2.0,11:15,10:15,Belfast Airport,11:15,In
DE139BN,52.848671,-1.656284,12:05,13:05,London Heathrow Airport,15:05,Out
BH217DA,50.829636,-1.944025,12:05,13:05,London Heathrow Airport,15:05,Out
TN249DR,51.162946,0.88525,12:05,13:05,London Heathrow Airport,15:05,Out
ML37EZ,55.77029,-4.030465,09:35,10:35,Glasgow International Airport Terminal M,12:35,Out
BH232HD,50.748861,-1.800748,15:05,16:05,London Heathrow Airport,18:05,Out
CV377JZ,52.183729,-1.696512,12:05,13:05,London Heathrow Airport,15:05,Out
SN58LZ,51.54906,-1.833805,12:05,13:05,London Heathrow Airport,15:05,Out
ME138LF,51.310973,0.890154,12:05,13:05,London Heathrow Airport,15:05,Out
TN110PP,51.177792,0.330383,12:05,13:05,London Heathrow Airport,15:05,Out
L372HL,53.551619,-3.073303,12:55,11:55,Manchester Airport,12:55,In
LU72SY,51.922861,-0.670726,12:05,13:05,London Heathrow Airport,15:05,Out
L238UF,53.492841,-3.039727,12:55,11:55,Manchester Airport,12:55,In
RG47PX,51.479354,-0.985651,12:05,13:05,London Heathrow Airport,15:05,Out
SR31PS,54.88587,-1.399716,12:15,13:15,Newcastle Airport,15:15,Out
SR33PE,54.871552,-1.440537,12:15,13:15,Newcastle Airport,15:15,Out
NE243RS,55.10766,-1.519505,12:15,13:15,Newcastle Airport,15:15,Out
TN330LT,50.922613,0.482558,15:35,14:35,London Heathrow Airport,15:35,In
IP256DN,52.569112,0.838609,15:35,14:35,London Heathrow Airport,15:35,In
BS347EL,51.51018,-2.567655,15:35,14:35,London Heathrow Airport,15:35,In
LE652QF,52.740238,-1.486547,15:35,14:35,London Heathrow Airport,15:35,In
BR15SA,51.429398,-0.009933,16:25,15:25,London Heathrow Airport,16:25,In
NN33ND,52.242608,-0.857858,16:25,15:25,London Heathrow Airport,16:25,In
LE33GB,52.619161,-1.205617,16:25,15:25,London Heathrow Airport,16:25,In
SA115DS,51.744986,-3.628141,16:25,15:25,London Heathrow Airport,16:25,In
HX37QF,53.759283,-1.804574,16:25,15:25,London Heathrow Airport,16:25,In
NR47PG,52.618635,1.268221,16:25,15:25,London Heathrow Airport,16:25,In
CR84LA,51.334073,-0.124375,16:25,15:25,London Heathrow Airport,16:25,In
TA126DG,50.972569,-2.765129,16:25,15:25,London Heathrow Airport,16:25,In
NG156NE,53.040597,-1.213798,16:25,15:25,London Heathrow Airport,16:25,In
LS285PD,53.829078,-1.687113,16:25,15:25,London Heathrow Airport,16:25,In
DE225JW,52.966872,-1.499192,16:25,15:25,London Heathrow Airport,16:25,In
NP77AP,51.826509,-3.030637,16:25,15:25,London Heathrow Airport,16:25,In
CV227FD,52.357413,-1.301439,16:25,15:25,London Heathrow Airport,16:25,In
DE216HG,52.930332,-1.440925,16:25,15:25,London Heathrow Airport,16:25,In
HP157JW,51.658588,-0.703328,17:55,16:55,London Heathrow Airport,17:55,In
BH153BP,50.731953,-1.986225,17:55,16:55,London Heathrow Airport,17:55,In
BD132DQ,53.761807,-1.861839,17:55,16:55,London Heathrow Airport,17:55,In
HR47SD,52.09358,-2.758894,17:55,16:55,London Heathrow Airport,17:55,In
RH60PJ,51.161115,-0.177563,17:55,16:55,London Heathrow Airport,17:55,In
RH60PJ,51.161115,-0.177563,17:55,16:55,London Heathrow Airport,17:55,In
CO30SE,51.891898,0.83402,17:55,16:55,London Heathrow Airport,17:55,In
NR103EY,52.704422,1.244473,17:55,16:55,London Heathrow Airport,17:55,In
RH194LY,51.113376,-0.027154,17:55,16:55,London Heathrow Airport,17:55,In
HP157BY,51.656673,-0.704178,17:55,16:55,London Heathrow Airport,17:55,In
NR337TL,52.41786,1.713737,17:55,16:55,London Heathrow Airport,17:55,In
SP61LH,50.933352,-1.794853,17:55,16:55,London Heathrow Airport,17:55,In
LS131NH,53.824125,-1.669817,17:55,16:55,London Heathrow Airport,17:55,In
S267XR,53.315203,-1.281461,17:55,16:55,London Heathrow Airport,17:55,In
BH148NE,50.706216,-1.936269,17:55,16:55,London Heathrow Airport,17:55,In
RH192PS,51.136958,-0.055167,17:55,16:55,London Heathrow Airport,17:55,In
YO126QA,54.299005,-0.413077,18:30,17:30,Leeds Bradford Airport,18:30,In
SG189PU,52.052314,-0.268152,19:30,18:30,London Gatwick Airport,19:30,In
AL51HJ,51.804403,-0.334468,19:30,18:30,London Gatwick Airport,19:30,In
SG188FL,54.0,-2.0,19:30,18:30,London Gatwick Airport,19:30,In
CF645RF,51.423732,-3.173347,02:10,03:10,Bristol Airport,05:10,Out
NN68RN,52.342542,-0.991464,02:10,03:10,London Luton Airport,05:10,Out
GU290AL,50.996595,-0.724343,01:50,02:50,London Gatwick Airport,04:50,Out
FK11TS,55.996975,-3.776184,00:35,01:35,Edinburgh Airport,03:35,Out
NR280SD,52.854494,1.423757,06:30,07:30,London Gatwick Airport,09:30,Out
B302BJ,52.423611,-1.922511,04:30,05:30,London Gatwick Airport,07:30,Out
SE37PF,51.481986,0.014405,03:30,04:30,London Gatwick Airport,06:30,Out
SP104EZ,51.223269,-1.507457,03:20,04:20,Bournemouth Airport,06:20,Out
S427EY,53.219145,-1.497576,06:30,07:30,London Gatwick Airport,09:30,Out
SE228TB,51.453993,-0.086603,03:30,04:30,London Gatwick Airport,06:30,Out
L254ST,53.39106,-2.868604,07:35,08:35,London Gatwick Airport,10:35,Out
EX144QE,50.852343,-3.221713,07:55,08:55,London Heathrow Airport,10:55,Out
WA160TL,53.300881,-2.401626,07:35,08:35,London Gatwick Airport,10:35,Out
S267XR,53.315203,-1.281461,07:35,08:35,London Gatwick Airport,10:35,Out
ST180QL,52.793837,-1.987821,09:25,10:25,London Heathrow Airport,12:25,Out
S267XR,53.315203,-1.281461,07:35,08:35,London Gatwick Airport,10:35,Out
DL38SD,54.526367,-1.581167,09:30,10:30,London Heathrow Airport,12:30,Out
BH26JQ,50.727663,-1.879044,05:10,04:10,London Heathrow Airport,05:10,In
L236UJ,53.490934,-3.046086,04:00,05:00,Manchester Airport,07:00,Out
IG117XF,51.533757,0.090011,04:30,05:30,London Gatwick Airport,07:30,Out
BA147PF,51.337291,-2.19219,04:30,05:30,Bristol Airport,07:30,Out
DE742NJ,52.846123,-1.336866,06:25,07:25,London Heathrow Airport,09:25,Out
GL24JY,51.829304,-2.274904,09:25,10:25,London Heathrow Airport,12:25,Out
BH316BN,50.873088,-1.858531,06:30,07:30,London Gatwick Airport,09:30,Out
B618RW,52.337252,-2.074858,06:25,07:25,London Heathrow Airport,09:25,Out
CO64HY,51.97234,0.868731,06:30,07:30,London Gatwick Airport,09:30,Out
BR69XJ,51.36495,0.094642,04:30,05:30,London Gatwick Airport,07:30,Out
PE191HA,52.234445,-0.267372,06:25,07:25,London Heathrow Airport,09:25,Out
PO180AU,50.870165,-0.773247,06:20,05:20,London Heathrow Airport,06:20,In
SN77NG,51.638949,-1.612919,06:25,05:25,London Heathrow Airport,06:25,In
SS12YS,51.531142,0.732572,06:25,07:25,London Heathrow Airport,09:25,Out
LA233LX,54.338794,-2.925185,06:25,05:25,London Heathrow Airport,06:25,In
IV327EP,57.612383,-3.092311,05:00,06:00,Aberdeen Airport,08:00,Out
CV32PH,52.390572,-1.44807,06:25,07:25,London Heathrow Airport,09:25,Out
PL66LX,50.427805,-4.143719,09:30,10:30,London Heathrow Airport,12:30,Out
BN162AD,50.810401,-0.495375,06:25,07:25,London Heathrow Airport,09:25,Out
PO12NS,50.789421,-1.101714,09:30,10:30,London Gatwick Airport,12:30,Out
EX141JB,50.795316,-3.195097,08:35,09:35,London Heathrow Airport,11:35,Out
PO167QP,50.861175,-1.191287,06:25,07:25,London Heathrow Airport,09:25,Out
EN27QH,51.656209,-0.104251,06:45,05:45,London Heathrow Airport,06:45,In
SN140QY,51.454834,-2.146759,10:05,11:05,London Heathrow Airport,13:05,Out
CB30GQ,52.23034,0.089979,07:20,08:20,London Gatwick Airport,10:20,Out
MK404BH,52.139039,-0.501857,06:45,07:45,London Heathrow Airport,09:45,Out
TN120PE,51.165977,0.539766,06:15,07:15,London Gatwick Airport,09:15,Out
NN28QP,52.266266,-0.914387,07:35,08:35,London Gatwick Airport,10:35,Out
SG49QW,51.94764,-0.257346,06:25,07:25,London Heathrow Airport,09:25,Out
N200HA,51.627253,-0.178018,06:25,07:25,London Heathrow Airport,09:25,Out
MK404AR,52.137803,-0.516482,06:45,07:45,London Heathrow Airport,09:45,Out
MK417TB,52.146166,-0.470108,07:20,06:20,London Heathrow Airport,07:20,In
LE25PE,52.592749,-1.083581,07:20,06:20,London Heathrow Airport,07:20,In
SK94EU,53.341132,-2.22885,07:20,06:20,London Heathrow Airport,07:20,In
WR113HE,52.086844,-1.929309,07:20,06:20,London Heathrow Airport,07:20,In
CM219BS,51.816367,0.149173,06:25,07:25,London Heathrow Airport,09:25,Out
MK464EP,52.170196,-0.666255,07:05,08:05,London Heathrow Airport,10:05,Out
RM163JT,51.509992,0.370272,07:20,06:20,London Heathrow Airport,07:20,In
CV107LE,52.515219,-1.483749,07:20,06:20,London Heathrow Airport,07:20,In
LE25PG,52.592926,-1.083252,07:20,06:20,London Heathrow Airport,07:20,In
LE89FZ,52.578318,-1.029263,07:20,06:20,London Heathrow Airport,07:20,In
MK57EN,52.016232,-0.773133,09:55,10:55,London Heathrow Airport,12:55,Out
NN68BW,52.308321,-1.027502,07:20,06:20,London Heathrow Airport,07:20,In
LE33GB,52.619161,-1.205617,07:20,06:20,London Heathrow Airport,07:20,In
SS87DB,51.515408,0.596982,06:30,07:30,London Gatwick Airport,09:30,Out
M418UP,53.451242,-2.388468,04:30,05:30,Manchester Airport,07:30,Out
KT108ED,51.3832,-0.352866,06:30,07:30,London Gatwick Airport,09:30,Out
GU168SX,51.321809,-0.734002,06:30,07:30,London Gatwick Airport,09:30,Out
HA30AY,51.580054,-0.31672,06:25,07:25,London Heathrow Airport,09:25,Out
TN119HX,51.21696,0.240596,06:30,07:30,London Gatwick Airport,09:30,Out
GU470SJ,51.35475,-0.782513,06:30,07:30,London Gatwick Airport,09:30,Out
GU470TJ,51.354736,-0.780244,06:30,07:30,London Gatwick Airport,09:30,Out
BN18XF,50.857961,-0.154623,06:30,07:30,London Gatwick Airport,09:30,Out
KT234BS,51.275221,-0.360228,06:30,07:30,London Gatwick Airport,09:30,Out
PE317DY,52.908275,0.490865,09:30,10:30,London Heathrow Airport,12:30,Out
KT146HU,51.332427,-0.513466,06:25,07:25,London Heathrow Airport,09:25,Out
S103QU,53.370709,-1.541005,06:00,07:00,Manchester Airport,09:00,Out
RG76JP,51.434336,-1.167998,07:55,08:55,London Heathrow Airport,10:55,Out
BB55WQ,53.776281,-2.375367,06:00,07:00,Manchester Airport,09:00,Out
KT100AX,51.374955,-0.335143,06:25,07:25,London Heathrow Airport,09:25,Out
CM144YG,51.627112,0.290485,07:05,08:05,London Heathrow Airport,10:05,Out
LU63BJ,51.880374,-0.519256,07:05,08:05,London Heathrow Airport,10:05,Out
CR52SR,51.318014,-0.13354,06:30,07:30,London Gatwick Airport,09:30,Out
DE236FX,52.905337,-1.504956,07:25,08:25,Birmingham Airport,10:25,Out
YO113JP,54.249831,-0.378664,15:05,16:05,London Heathrow Airport,18:05,Out
GU218UZ,51.308692,-0.609773,07:05,08:05,London Heathrow Airport,10:05,Out
DE130LE,52.829857,-1.644217,08:40,07:40,London Heathrow Airport,08:40,In
DE139AU,52.846125,-1.628509,08:40,07:40,London Heathrow Airport,08:40,In
AB217EP,57.205344,-2.187609,05:40,06:40,Aberdeen Airport,08:40,Out
NP46SD,51.713952,-3.057055,09:30,10:30,London Heathrow Airport,12:30,Out
B601DT,52.368465,-2.040748,07:25,08:25,Birmingham Airport,10:25,Out
SK73PU,53.379513,-2.149518,07:20,08:20,Manchester Airport,10:20,Out
B689NS,52.478926,-2.001378,09:30,10:30,London Heathrow Airport,12:30,Out
WR97RQ,52.256624,-2.139181,09:30,10:30,London Heathrow Airport,12:30,Out
B735SN,52.550022,-1.83687,09:30,10:30,London Heathrow Airport,12:30,Out
GL71RL,51.71342,-1.967667,09:30,10:30,London Heathrow Airport,12:30,Out
DL84EH,54.316244,-1.930029,07:45,08:45,Newcastle Airport,10:45,Out
GL72PX,51.718022,-1.962337,09:30,10:30,London Heathrow Airport,12:30,Out
B939JN,52.382889,-1.744634,09:30,10:30,London Heathrow Airport,12:30,Out
PE38EX,52.595278,-0.285615,09:30,10:30,London Heathrow Airport,12:30,Out
MK184AG,51.989602,-1.067722,09:30,10:30,London Heathrow Airport,12:30,Out
PO89RQ,50.90678,-1.025739,09:30,10:30,London Heathrow Airport,12:30,Out
RH159JW,50.948295,-0.136698,09:30,10:30,London Heathrow Airport,12:30,Out
PO64SS,50.843522,-1.097053,09:30,10:30,London Heathrow Airport,12:30,Out
KT66JB,51.391605,-0.299742,10:30,09:30,London Heathrow Airport,10:30,In
RH60PJ,51.161115,-0.177563,10:30,09:30,London Heathrow Airport,10:30,In
GU358EJ,51.118495,-0.800331,10:30,09:30,London Heathrow Airport,10:30,In
ST158PN,52.897893,-2.134815,10:30,09:30,London Heathrow Airport,10:30,In
IP77BS,52.103273,0.954431,10:30,09:30,London Heathrow Airport,10:30,In
CB39LS,52.199557,0.099276,10:30,09:30,London Heathrow Airport,10:30,In
NN81QB,52.303542,-0.678123,10:30,09:30,London Heathrow Airport,10:30,In
DN147FN,53.74271,-0.873072,10:30,09:30,London Heathrow Airport,10:30,In
PE85EB,52.537549,-0.4757,10:30,09:30,London Heathrow Airport,10:30,In
TW118TA,51.429644,-0.341789,10:30,09:30,London Heathrow Airport,10:30,In
PR31YL,53.878653,-2.765064,10:30,09:30,London Heathrow Airport,10:30,In
RH27HJ,51.230306,-0.198337,10:30,09:30,London Heathrow Airport,10:30,In
GU104BP,51.184137,-0.825586,10:30,09:30,London Heathrow Airport,10:30,In
ST148LL,52.871435,-1.79886,10:30,09:30,London Heathrow Airport,10:30,In
RM126AP,51.552438,0.22391,09:30,10:30,London Heathrow Airport,12:30,Out
RH60PJ,51.161115,-0.177563,10:30,09:30,London Heathrow Airport,10:30,In
SE166DN,51.501674,-0.049003,09:30,10:30,London Heathrow Airport,12:30,Out
UB70DU,51.482652,-0.451398,08:35,09:35,London Heathrow Airport,11:35,Out
UB70DU,51.482652,-0.451398,08:35,09:35,London Heathrow Airport,11:35,Out
DE560NL,53.006183,-1.42561,15:05,16:05,London Heathrow Airport,18:05,Out
KT245SD,51.263041,-0.416131,09:30,10:30,London Heathrow Airport,12:30,Out
RG65UG,51.426665,-0.932406,09:30,10:30,London Heathrow Airport,12:30,Out
RG404UL,51.382701,-0.854151,09:30,10:30,London Heathrow Airport,12:30,Out
YO112XF,54.268134,-0.396388,14:10,15:10,London Heathrow Airport,17:10,Out
DE742XH,52.845317,-1.343872,15:05,16:05,London Heathrow Airport,18:05,Out
SK95PX,53.331959,-2.248757,08:15,09:15,Manchester Airport,11:15,Out
M202TD,53.414213,-2.235245,08:15,09:15,Manchester Airport,11:15,Out
HG43RW,54.164694,-1.648047,08:55,09:55,Leeds Bradford Airport,11:55,Out
BH26BY,50.724263,-1.887935,11:35,12:35,London Heathrow Airport,14:35,Out
CO124TJ,51.930258,1.234904,12:05,13:05,London Heathrow Airport,15:05,Out
CV357RR,52.315848,-1.575479,11:35,12:35,London Heathrow Airport,14:35,Out
HU143PJ,53.736697,-0.50067,15:05,16:05,London Heathrow Airport,18:05,Out
LE80EZ,52.538562,-0.997893,12:05,13:05,London Heathrow Airport,15:05,Out
B927DP,52.430195,-1.807134,15:05,16:05,London Heathrow Airport,18:05,Out
TN221DU,50.972811,0.099753,11:35,12:35,London Heathrow Airport,14:35,Out
RM154EA,51.49841,0.243554,11:35,12:35,London Heathrow Airport,14:35,Out
PE291WT,52.332788,-0.174442,12:05,13:05,London Heathrow Airport,15:05,Out
TA63SL,51.139569,-3.011219,12:35,11:35,Bristol Airport,12:35,In
N146HP,51.636714,-0.119949,11:35,12:35,London Heathrow Airport,14:35,Out
RH103PG,51.132136,-0.123891,12:40,11:40,London Heathrow Airport,12:40,In
AL14RX,51.762244,-0.314038,11:35,12:35,London Heathrow Airport,14:35,Out
RH103PG,51.132136,-0.123891,13:05,12:05,London Heathrow Airport,13:05,In
KT229LS,51.295992,-0.344743,11:35,12:35,London Heathrow Airport,14:35,Out
SL90DW,51.613349,-0.549572,14:35,15:35,London Heathrow Airport,17:35,Out
BN271ET,50.87315,0.26199,13:30,12:30,London Gatwick Airport,13:30,In
GU47NX,51.267966,-0.570347,11:35,12:35,London Heathrow Airport,14:35,Out
CO39XA,51.875127,0.855472,13:30,12:30,London Gatwick Airport,13:30,In
DA130NE,51.38521,0.360871,13:35,12:35,London Heathrow Airport,13:35,In
CH51UW,53.198253,-3.042569,13:35,12:35,London Heathrow Airport,13:35,In
SS43HG,51.606254,0.688059,13:35,12:35,London Heathrow Airport,13:35,In
PO208EJ,50.77081,-0.872213,13:35,12:35,London Heathrow Airport,13:35,In
SY218DF,52.702511,-3.035136,13:35,12:35,London Heathrow Airport,13:35,In
NG104HZ,52.907749,-1.281611,13:35,12:35,London Heathrow Airport,13:35,In
HR60DP,52.273638,-2.731878,13:35,12:35,London Heathrow Airport,13:35,In
CO64ED,51.930435,0.873665,13:35,12:35,London Heathrow Airport,13:35,In
PL34PW,50.390726,-4.13708,13:35,12:35,London Heathrow Airport,13:35,In
LL164SU,53.173607,-3.433874,13:35,12:35,London Heathrow Airport,13:35,In
CO139NR,51.842193,1.260295,13:35,12:35,London Heathrow Airport,13:35,In
GL513PD,51.890074,-2.110335,13:35,12:35,London Heathrow Airport,13:35,In
SS26JG,51.544785,0.703113,13:35,12:35,London Heathrow Airport,13:35,In
S802JE,53.303362,-1.114115,13:35,12:35,London Heathrow Airport,13:35,In
NG321JW,52.88197,-0.708792,15:05,16:05,London Heathrow Airport,18:05,Out
CV339LS,52.23578,-1.462861,14:00,13:00,Birmingham Airport,14:00,In
CF643HE,51.434559,-3.176027,15:05,16:05,London Heathrow Airport,18:05,Out
B631EQ,52.433155,-2.082303,15:05,16:05,London Heathrow Airport,18:05,Out
PO144LT,50.853395,-1.270454,14:10,15:10,London Heathrow Airport,17:10,Out
RH60RN,51.160773,-0.190291,15:05,14:05,London Heathrow Airport,15:05,In
SS93PP,51.549482,0.633428,15:05,16:05,London Heathrow Airport,18:05,Out
BN435NT,50.842197,-0.283224,15:05,16:05,London Heathrow Airport,18:05,Out
RH159JH,50.946139,-0.1363,15:05,16:05,London Heathrow Airport,18:05,Out
RG177TZ,51.484173,-1.558079,15:05,16:05,London Heathrow Airport,18:05,Out
SG142WS,51.810712,-0.100036,15:05,16:05,London Heathrow Airport,18:05,Out
RH103PG,51.132136,-0.123891,16:00,15:00,London Heathrow Airport,16:00,In
HP52PN,51.718945,-0.619879,15:05,16:05,London Heathrow Airport,18:05,Out
SL68LF,51.542525,-0.698008,15:05,16:05,London Heathrow Airport,18:05,Out
SL16HJ,51.524649,-0.654971,15:05,16:05,London Heathrow Airport,18:05,Out
NE612UF,55.157919,-1.681632,17:00,16:00,Newcastle Airport,17:00,In
DH23PY,54.822585,-1.599792,17:00,16:00,Newcastle Airport,17:00,In
DA53JR,51.439493,0.138383,17:25,16:25,London Gatwick Airport,17:25,In
BA112LY,51.238888,-2.317649,18:45,17:45,Bristol Airport,18:45,In
W129AG,51.504078,-0.241352,18:50,17:50,London Gatwick Airport,18:50,In
BR54LF,51.374883,0.112381,18:50,17:50,London Gatwick Airport,18:50,In
HP279JL,51.733823,-0.829318,18:50,17:50,London Gatwick Airport,18:50,In
KT12JU,51.405288,-0.306927,18:50,17:50,London Gatwick Airport,18:50,In
PO193DR,50.83749,-0.790209,19:20,18:20,London Heathrow Airport,19:20,In
LN119FF,53.363481,0.004937,19:20,18:20,London Heathrow Airport,19:20,In
CB63DW,52.394879,0.246945,19:20,18:20,London Heathrow Airport,19:20,In
TN40JT,51.154484,0.252197,19:20,18:20,London Heathrow Airport,19:20,In
WR37DH,52.223643,-2.227999,19:20,18:20,London Heathrow Airport,19:20,In
NG199EB,53.160258,-1.190496,19:20,18:20,London Heathrow Airport,19:20,In
RG47NL,51.482297,-0.989085,19:20,18:20,London Heathrow Airport,19:20,In
DT29BP,50.695969,-2.662396,19:20,18:20,London Heathrow Airport,19:20,In
UB70DU,51.482652,-0.451398,19:20,18:20,London Heathrow Airport,19:20,In
NN116UL,52.172902,-1.252023,19:20,18:20,London Heathrow Airport,19:20,In
DY149XN,52.361031,-2.367844,19:20,18:20,London Heathrow Airport,19:20,In
WR40SG,52.196831,-2.170686,19:20,18:20,London Heathrow Airport,19:20,In
UB70DU,51.482652,-0.451398,19:20,18:20,London Heathrow Airport,19:20,In
W139NQ,51.508769,-0.314089,19:20,18:20,London Heathrow Airport,19:20,In
NE150EE,54.995177,-1.785768,19:35,18:35,Newcastle Airport,19:35,In
OX254AS,51.908203,-1.227713,20:20,19:20,Birmingham Airport,20:20,In
SL71NQ,51.568843,-0.772112,22:25,21:25,London Heathrow Airport,22:25,In
N156AT,51.577489,-0.066267,23:00,22:00,London Gatwick Airport,23:00,In
TW182JH,51.413808,-0.495068,23:00,22:00,London Gatwick Airport,23:00,In
KT198HP,51.346228,-0.282494,23:00,22:00,London Gatwick Airport,23:00,In
OX155QR,52.031212,-1.482686,23:00,22:00,London Gatwick Airport,23:00,In
RG183FG,51.410098,-1.265576,23:00,22:00,London Gatwick Airport,23:00,In
CB61FE,52.452903,0.31598,23:00,22:00,London Gatwick Airport,23:00,In
ME150SG,51.211159,0.453547,23:00,22:00,London Gatwick Airport,23:00,In
CV477RG,52.212722,-1.286819,23:00,22:00,London Gatwick Airport,23:00,In
OX154ET,52.016892,-1.375572,23:00,22:00,London Gatwick Airport,23:00,In
OX155HP,52.05052,-1.544703,23:00,22:00,London Gatwick Airport,23:00,In
OX156QS,52.074569,-1.399778,23:00,22:00,London Gatwick Airport,23:00,In
OX171BJ,52.122474,-1.360867,23:00,22:00,London Gatwick Airport,23:00,In
OL84EG,53.530541,-2.130755,03:40,04:40,London Gatwick Airport,06:40,Out
DN145JX,53.708453,-0.856731,04:05,05:05,London Gatwick Airport,07:05,Out
PL97BX,50.362184,-4.09121,02:25,03:25,Bristol Airport,05:25,Out
EX348BZ,51.206333,-4.12772,02:25,03:25,Bristol Airport,05:25,Out
NG103HQ,52.890386,-1.292852,03:40,04:40,London Gatwick Airport,06:40,Out
ML92BS,55.740948,-3.966984,01:40,02:40,Glasgow Airport,04:40,Out
PL90ES,50.322838,-4.069856,02:40,03:40,Exeter Airport,05:40,Out
UB68PT,51.540802,-0.347096,02:00,03:00,London Luton Airport,05:00,Out
CM144TJ,51.621312,0.29694,02:50,03:50,London Gatwick Airport,05:50,Out
HU143QJ,53.740999,-0.492541,06:25,07:25,London Heathrow Airport,09:25,Out
HD15NG,53.651215,-1.791607,02:45,03:45,Manchester Airport,05:45,Out
IP45RD,52.065151,1.215626,04:30,05:30,London Gatwick Airport,07:30,Out
SG138FB,51.790777,-0.06645,03:40,04:40,London Gatwick Airport,06:40,Out
TA37RR,50.906714,-3.122451,02:40,03:40,Exeter Airport,05:40,Out
IP38RW,52.044788,1.205426,04:30,05:30,London Gatwick Airport,07:30,Out
EN107LS,51.751533,-0.017812,03:40,04:40,London Gatwick Airport,06:40,Out
ST37QJ,52.967881,-2.091988,05:15,06:15,London Heathrow Airport,08:15,Out
PE91UF,52.657106,-0.467245,05:15,06:15,London Gatwick Airport,08:15,Out
PE91UF,52.657106,-0.467245,05:15,06:15,London Gatwick Airport,08:15,Out
CT130QL,51.269008,1.326558,03:40,04:40,London Gatwick Airport,06:40,Out
AL109FF,51.777096,-0.238381,04:10,05:10,London Heathrow Airport,07:10,Out
SN47BE,51.543035,-1.906633,04:05,05:05,London Gatwick Airport,07:05,Out
EN107DX,51.745064,-0.021862,03:40,04:40,London Gatwick Airport,06:40,Out
SW34SR,51.48688,-0.159091,03:40,04:40,London Gatwick Airport,06:40,Out
B248JG,52.512143,-1.840328,04:50,05:50,London Heathrow Airport,07:50,Out
AL35HU,51.763126,-0.329235,04:10,05:10,London Heathrow Airport,07:10,Out
TN306LR,51.073598,0.693246,03:50,04:50,London Gatwick Airport,06:50,Out
